product_id,product_name,product_launch_date,month,orders,total_revenue
1,The Original Mr. Fuzzy,2012-03-19 08:00:00,2014-04,917,45840.83
1,The Original Mr. Fuzzy,2012-03-19 08:00:00,2014-05,1030,51489.7
1,The Original Mr. Fuzzy,2012-03-19 08:00:00,2014-06,893,44641.07
1,The Original Mr. Fuzzy,2012-03-19 08:00:00,2014-07,961,48040.39
1,The Original Mr. Fuzzy,2012-03-19 08:00:00,2014-08,958,47890.42
1,The Original Mr. Fuzzy,2012-03-19 08:00:00,2014-09,1056,52789.44
1,The Original Mr. Fuzzy,2012-03-19 08:00:00,2014-10,1173,58638.27
1,The Original Mr. Fuzzy,2012-03-19 08:00:00,2014-11,1451,72535.49
1,The Original Mr. Fuzzy,2012-03-19 08:00:00,2014-12,1584,79184.16
1,The Original Mr. Fuzzy,2012-03-19 08:00:00,2015-01,1392,69586.08
1,The Original Mr. Fuzzy,2012-03-19 08:00:00,2015-02,1113,55638.87
1,The Original Mr. Fuzzy,2012-03-19 08:00:00,2015-03,864,43191.36
2,The Forever Love Bear,2013-01-06 13:00:00,2013-01,47,2819.53
2,The Forever Love Bear,2013-01-06 13:00:00,2013-02,162,9718.38
2,The Forever Love Bear,2013-01-06 13:00:00,2013-03,65,3899.35
2,The Forever Love Bear,2013-01-06 13:00:00,2013-04,94,5639.06
2,The Forever Love Bear,2013-01-06 13:00:00,2013-05,82,4919.18
2,The Forever Love Bear,2013-01-06 13:00:00,2013-06,90,5399.1
2,The Forever Love Bear,2013-01-06 13:00:00,2013-07,95,5699.05
2,The Forever Love Bear,2013-01-06 13:00:00,2013-08,98,5879.02
2,The Forever Love Bear,2013-01-06 13:00:00,2013-09,98,5879.02
2,The Forever Love Bear,2013-01-06 13:00:00,2013-10,135,8098.65
2,The Forever Love Bear,2013-01-06 13:00:00,2013-11,174,10438.26
2,The Forever Love Bear,2013-01-06 13:00:00,2013-12,183,10978.17
2,The Forever Love Bear,2013-01-06 13:00:00,2014-01,183,10978.17
2,The Forever Love Bear,2013-01-06 13:00:00,2014-02,351,21056.49
2,The Forever Love Bear,2013-01-06 13:00:00,2014-03,193,11578.07
2,The Forever Love Bear,2013-01-06 13:00:00,2014-04,214,12837.86
2,The Forever Love Bear,2013-01-06 13:00:00,2014-05,246,14757.54
2,The Forever Love Bear,2013-01-06 13:00:00,2014-06,245,14697.55
2,The Forever Love Bear,2013-01-06 13:00:00,2014-07,244,14637.56
2,The Forever Love Bear,2013-01-06 13:00:00,2014-08,237,14217.63
2,The Forever Love Bear,2013-01-06 13:00:00,2014-09,251,15057.49
2,The Forever Love Bear,2013-01-06 13:00:00,2014-10,284,17037.16
2,The Forever Love Bear,2013-01-06 13:00:00,2014-11,377,22616.23
2,The Forever Love Bear,2013-01-06 13:00:00,2014-12,387,23216.13
2,The Forever Love Bear,2013-01-06 13:00:00,2015-01,394,23636.06
2,The Forever Love Bear,2013-01-06 13:00:00,2015-02,644,38633.56
2,The Forever Love Bear,2013-01-06 13:00:00,2015-03,223,13377.77
3,The Birthday Sugar Panda,2013-12-12 09:00:00,2013-12,139,6392.61
3,The Birthday Sugar Panda,2013-12-12 09:00:00,2014-01,200,9198.0
3,The Birthday Sugar Panda,2013-12-12 09:00:00,2014-02,211,9703.89
3,The Birthday Sugar Panda,2013-12-12 09:00:00,2014-03,244,11221.56
3,The Birthday Sugar Panda,2013-12-12 09:00:00,2014-04,267,12279.33
3,The Birthday Sugar Panda,2013-12-12 09:00:00,2014-05,299,13751.01
3,The Birthday Sugar Panda,2013-12-12 09:00:00,2014-06,288,13245.12
3,The Birthday Sugar Panda,2013-12-12 09:00:00,2014-07,276,12693.24
3,The Birthday Sugar Panda,2013-12-12 09:00:00,2014-08,294,13521.06
3,The Birthday Sugar Panda,2013-12-12 09:00:00,2014-09,317,14578.83
3,The Birthday Sugar Panda,2013-12-12 09:00:00,2014-10,368,16924.32
3,The Birthday Sugar Panda,2013-12-12 09:00:00,2014-11,425,19545.75
3,The Birthday Sugar Panda,2013-12-12 09:00:00,2014-12,539,24788.61
3,The Birthday Sugar Panda,2013-12-12 09:00:00,2015-01,450,20695.5
3,The Birthday Sugar Panda,2013-12-12 09:00:00,2015-02,405,18625.95
3,The Birthday Sugar Panda,2013-12-12 09:00:00,2015-03,263,12095.37
4,The Hudson River Mini bear,2014-02-05 10:00:00,2014-02,202,6057.98
4,The Hudson River Mini bear,2014-02-05 10:00:00,2014-03,205,6147.95
4,The Hudson River Mini bear,2014-02-05 10:00:00,2014-04,259,7767.41
4,The Hudson River Mini bear,2014-02-05 10:00:00,2014-05,298,8937.02
4,The Hudson River Mini bear,2014-02-05 10:00:00,2014-06,249,7467.51
4,The Hudson River Mini bear,2014-02-05 10:00:00,2014-07,264,7917.36
4,The Hudson River Mini bear,2014-02-05 10:00:00,2014-08,303,9086.97
4,The Hudson River Mini bear,2014-02-05 10:00:00,2014-09,327,9806.73
4,The Hudson River Mini bear,2014-02-05 10:00:00,2014-10,377,11306.23
4,The Hudson River Mini bear,2014-02-05 10:00:00,2014-11,449,13465.51
4,The Hudson River Mini bear,2014-02-05 10:00:00,2014-12,588,17634.12
4,The Hudson River Mini bear,2014-02-05 10:00:00,2015-01,610,18293.9
4,The Hudson River Mini bear,2014-02-05 10:00:00,2015-02,544,16314.56
4,The Hudson River Mini bear,2014-02-05 10:00:00,2015-03,343,10286.57
